'Jurnal Perempuan': Facing off against fundamentalism | The Jakarta ...http://www.thejakartapost.com/news/2010/08/13/%E2%80%98jurnal-perempuan%E2%80%99-facing-against-fundamentalism.html
Unidentified group attacks transgender rally, injures 4 | The Jakarta ...http://www.thejakartapost.com/news/2014/11/22/unidentified-group-attacks-transgender-rally-injures-4.html
Highs and lows of Jakarta's burgeoning club scene | The Jakarta Posthttp://www.thejakartapost.com/news/2001/09/30/highs-and-lows-jakarta039s-burgeoning-club-scene.html
View Point: After Geneva: 'Makar', tolerance and reporting rape | The ...http://www.thejakartapost.com/news/2013/07/14/view-point-after-geneva-makar-tolerance-and-reporting-rape.html
Siskel: A life's journey from scholar to philanthropist | The Jakarta Posthttp://www.thejakartapost.com/news/2005/07/17/siskel-life039s-journey-scholar-philanthropist.html
End outdated Internet controls, Minister Rudiantara | The Jakarta Posthttp://www.thejakartapost.com/news/2014/11/15/end-outdated-internet-controls-minister-rudiantara.html
Pinar Ilkkaracan : All of her sexualities, all of her Islams | The Jakarta ...http://www.thejakartapost.com/news/2010/10/06/pinar-ilkkaracan-all-her-sexualities-all-her-islams.html
Brunei delays introduction of tough Islamic law | The Jakarta Posthttp://www.thejakartapost.com/news/2014/04/22/brunei-delays-introduction-tough-islamic-law.html
JIS ambiguous about data on teachers, commission says | The ...http://www.thejakartapost.com/news/2014/04/24/jis-ambiguous-about-data-teachers-commission-says.html
HIV cases in sex workers falling, risky behavior persists | The ...http://www.thejakartapost.com/bali-daily/2013-03-11/hiv-cases-sex-workers-falling-risky-behavior-persists.html
Bali Rainbow Community Proudly Presents Michael Cormick in A ...http://www.thejakartapost.com/bali-daily/2013-05-31/bali-rainbow-community-proudly-presents-michael-cormick-a-night-broadway.html
More than a woman: Liberated female writers aim high in fiction ...http://www.thejakartapost.com/news/2013/11/17/more-a-woman-liberated-female-writers-aim-high-fiction.html
View Point: Keep the promise: End violence against women! | The ...http://www.thejakartapost.com/news/2013/03/06/view-point-keep-promise-end-violence-against-women.html
